claim_id,section,proposed_claim,claim_type,evidence_source_keys,primary_evidence,secondary_evidence,supporting_pages,contradicting_source_keys,source_independence,evidence_directness,confidence,status,interpretation_or_fact,limitations,final_wording
C01,Introduction,"The object occupies craft, aesthetic, media, and legal domains.",synthesis,lardizabal1951;ccp1994;customs1971;riddall1991,lardizabal1951;customs1971,stargriesemer1989;gosdenmarshall1999,source notes,none,independent,mixed,medium,supported,interpretation,Cross-domain synthesis is the author’s analysis.,The record supports following the object across distinct institutional worlds.
C02,Introduction,Visible transformation connects the four domains.,design interpretation,rosswensveen2010;ramstead2016;customs1971;jenkins2006,customs1971,rosswensveen2010;ramstead2016;jenkins2006,source notes,none,independent,indirect,medium,provisionally_supported,interpretation,No source tests this exact proposition.,"Visible transformation may be understood as an enabling affordance, not a sufficient cause."
C03,Method,Object biography studies changes of meaning across circulation and social relations.,method,appadurai1986;kopytoff1986;gosdenmarshall1999;dyer2021,gosdenmarshall1999,appadurai1986;kopytoff1986;dyer2021,Gosden and Marshall 169–178,none,independent,direct,high,supported,fact,Framework is general.,Object biography directs attention to changing classifications rather than a single essence.
C04,Method,Boundary objects retain recognizable identity across differently invested social worlds.,method,stargriesemer1989,stargriesemer1989,gosdenmarshall1999,Star and Griesemer 388–393,none,independent,direct,high,supported,fact,Original case concerns scientific cooperation.,Boundary-object language is used analytically and with limits.
C05,Method,Material evidence requires critical interpretation rather than illustration.,method,dyer2021;gosdenmarshall1999,dyer2021,gosdenmarshall1999,Dyer 282–292; Gosden and Marshall 170,none,independent,direct,high,supported,fact,General method.,"The study separates documentation, observation, framing, contest, and interpretation."
C06,Craft and Place,Balisong production was documented as a Batangas industry by 1951.,chronology,lardizabal1951,lardizabal1951,ccp1994,Lardizabal printed 18,none,independent across time,direct,high,supported,fact,The report does not establish origin or exact locality.,A 1951 report documents balisong production among Batangas industries.
C07,Craft and Place,The term circulated in Philippine popular print by October 1947.,terminology,ilangilang1947,ilangilang1947,lardizabal1951,Ilang-Ilang PDF folios 4 and 6–8,none,independent,direct,high,supported,fact,Fiction cannot establish form or origin.,A 1947 periodical shows that the term was intelligible in popular print.
C08,Craft and Place,Philippine institutions associate the object with Taal and Batangas craft identity.,institutional framing,ccp1994;universitybatangas2024;municipalitytaal2013;yasa2024,ccp1994;yasa2024,universitybatangas2024;municipalitytaal2013,CCP PDF folio 5; Yasa 75 and 97,none,partly independent,direct,high,supported,fact,Later heritage framing can reshape identity.,Multiple institutions frame the object as Batangas or Taal craft while doing different cultural work.
C09,Craft and Place,Family transmission and livelihood define local cultural significance.,craft tradition,galvan2016;universitybatangas2024;gonzalez2017,universitybatangas2024,galvan2016;gonzalez2017,institutional pages and abstracts,none,partly independent,mixed,medium,provisionally_supported,fact,The key balisong thesis is abstract-only.,"Accessible sources report family, livelihood, and transmission themes, but stronger ethnography is needed."
C10,Craft and Place,"The object originated uniquely and conclusively in Barangay Balisong, Taal.",origin,municipalitytaal2013;galvan2016,none,none,none,municipalitytaal2013,dependent,indirect,low,insufficient,fact,No acquired early primary source establishes a unique origin.,Omitted as a definite claim; origin remains contested.
